topic,component,metric,filter_conditions,time_type,time_index,time_label,aggregation,value,unit,query_terms,recommended_answer
综合安防,安防告警,半球,设备类型=半球,固定展示,,固定展示值,当期,19090.0,件,半球；安防告警,"半球数量为19,090件。"
综合安防,安防告警,已处理,,固定展示,,固定展示值,当期,109.0,件,已处理；安防告警,已处理预警数量为109件。
综合安防,安防告警,已执行,,固定展示,,固定展示值,当期,259.0,个,已执行；安防告警,已执行为259个。
综合安防,安防告警,总次数,,固定展示,,固定展示值,当期,482.0,件,总次数；安防告警,总次数为482件。
综合安防,安防告警,机器人执行率,,固定展示,,固定展示值,当期,95.9,%,机器人执行率；安防告警,机器人执行率为95.9%。
综合安防,视频设备状态,离线数,,固定展示,,固定展示值,当期,8.0,个,离线数；视频设备状态,离线数为8个。
综合安防,安防告警,告警平均响应速度,,固定展示,,固定展示值,当期,4.2,分钟,告警平均响应速度；安防告警,告警平均响应速度为4.2分钟。
综合安防,安防告警,总数量,,固定展示,,固定展示值,当期,21450.0,件,总数量；安防告警,"总数量为21,450件。"
综合安防,安防告警,组团E,区域=组团E,固定展示,,固定展示值,当期,13.0,件,组团E；安防告警,组团E告警数量为13件。
综合安防,安防告警,组团D,区域=组团D,固定展示,,固定展示值,当期,11.0,件,组团D；安防告警,组团D告警数量为11件。
综合安防,安防告警,组团A,区域=组团A,固定展示,,固定展示值,当期,10.0,件,组团A；安防告警,组团A告警数量为10件。
综合安防,安防告警,组团F,区域=组团F,固定展示,,固定展示值,当期,7.0,件,组团F；安防告警,组团F告警数量为7件。
综合安防,安防告警,组团C,区域=组团C,固定展示,,固定展示值,当期,6.0,件,组团C；安防告警,组团C告警数量为6件。
综合安防,安防告警,未处理,,固定展示,,固定展示值,当期,12.0,个,未处理；安防告警,未处理为12个。
综合安防,巡更管理,已执行,,固定展示,,固定展示值,当期,200.0,个,已执行；巡更管理,已执行为200个。
综合安防,巡更管理,总次数,,固定展示,,固定展示值,当期,474.0,件,总次数；巡更管理,总次数为474件。
综合安防,巡更管理,视频巡更执行率,,固定展示,,固定展示值,当期,81.0,%,视频巡更执行率；巡更管理,视频巡更执行率为81%。
综合安防,视频设备状态,在线数,,固定展示,,固定展示值,当期,21442.0,个,在线数；视频设备状态,"在线数为21,442个。"
综合安防,安防工单,工单平均响应速度,,固定展示,,固定展示值,当期,18.5,分钟,工单平均响应速度；安防工单,工单平均响应速度为18.5分钟。
综合安防,安防告警,处理中,,固定展示,,固定展示值,当期,28.0,件,处理中；安防告警,处理中预警数量为28件。
综合安防,安防告警,已完成,,固定展示,,固定展示值,当期,92.0,件,已完成；安防告警,已完成预警数量为92件。
综合安防,安防告警,待处理,,固定展示,,固定展示值,当期,15.0,件,待处理；安防告警,待处理预警数量为15件。
综合安防,安防告警,告警总数,,固定展示,,固定展示值,当期,135.0,件,告警总数；安防告警,告警总数为135件。
综合安防,安防工单,工单总数,,固定展示,,固定展示值,当期,121.0,件,工单总数；安防工单,工单总数为121件。
综合安防,安防告警,组团 A,区=组团 A,固定展示,,固定展示值,当期,1682.0,个,组团 A；安防告警,"组团 A为1,682个。"
综合安防,安防告警,组团 B,区=组团 B,固定展示,,固定展示值,当期,2734.0,个,组团 B；安防告警,"组团 B为2,734个。"
综合安防,安防告警,组团 C,区=组团 C,固定展示,,固定展示值,当期,1051.0,个,组团 C；安防告警,"组团 C为1,051个。"
综合安防,安防告警,组团 D,区=组团 D,固定展示,,固定展示值,当期,3365.0,个,组团 D；安防告警,"组团 D为3,365个。"
综合安防,安防告警,组团 E,区=组团 E,固定展示,,固定展示值,当期,3575.0,个,组团 E；安防告警,"组团 E为3,575个。"
综合安防,安防告警,组团 F,区=组团 F,固定展示,,固定展示值,当期,3365.0,个,组团 F；安防告警,"组团 F为3,365个。"
综合安防,安防告警,组团 G,区=组团 G,固定展示,,固定展示值,当期,3154.0,个,组团 G；安防告警,"组团 G为3,154个。"
综合安防,安防告警,组团 H,区=组团 H,固定展示,,固定展示值,当期,2524.0,个,组团 H；安防告警,"组团 H为2,524个。"
综合安防,安防告警,视频巡更告警,告警类别=视频巡更告警,固定展示,,固定展示值,当期,47.0,个,视频巡更告警；安防告警,视频巡更告警为47个。
综合安防,安防告警,机器人巡更,告警类别=机器人巡更,固定展示,,固定展示值,当期,35.0,个,机器人巡更；安防告警,机器人巡更为35个。
综合安防,安防告警,涉水告警,告警类别=涉水告警,固定展示,,固定展示值,当期,26.0,个,涉水告警；安防告警,涉水告警为26个。
综合安防,安防告警,消防告警,告警类别=消防告警,固定展示,,固定展示值,当期,15.0,个,消防告警；安防告警,消防告警为15个。
综合安防,安防告警,其他告警,告警类别=其他告警,固定展示,,固定展示值,当期,12.0,个,其他告警；安防告警,其他告警为12个。
便捷通行,人员通行,工卡通行,,固定展示,,固定展示值,当期,18.1,个,工卡通行；人员通行,工卡通行为18.1个。
便捷通行,通行设备健康,人行闸机健康度,类别=人行闸机,固定展示,,固定展示值,当期,98.5,%,人行闸机健康度；通行设备健康,人行闸机健康度为98.5%。
便捷通行,通行设备健康,车辆道闸健康度,类别=车辆道闸,固定展示,,固定展示值,当期,96.2,%,车辆道闸健康度；通行设备健康,车辆道闸健康度为96.2%。
便捷通行,通行设备健康,门禁终端健康度,类别=门禁终端,固定展示,,固定展示值,当期,99.1,%,门禁终端健康度；通行设备健康,门禁终端健康度为99.1%。
便捷通行,通行设备健康,车位感知健康度,类别=车位感知,固定展示,,固定展示值,当期,94.7,%,车位感知健康度；通行设备健康,车位感知健康度为94.7%。
便捷通行,停车与车辆,普通车位数,,固定展示,,固定展示值,当期,10206.0,位,普通车位数；停车与车辆,"普通车位数为10,206位。"
便捷通行,停车与车辆,车位使用率,,固定展示,,固定展示值,当期,90.2,%,车位使用率；停车与车辆,车位使用率为90.2%。
便捷通行,停车与车辆,新能源车位数,,固定展示,,固定展示值,当期,1024.0,个,新能源车位数；停车与车辆,"新能源车位数为1,024个。"
便捷通行,停车与车辆,使用率,区域=组团A；车位类型=普通车位,固定展示,,固定展示值,当期,35.8,%,使用率；停车与车辆；利用率,组团A普通车位使用率为35.8%。
便捷通行,停车与车辆,使用率,区域=组团A；车位类型=新能源车位,固定展示,,固定展示值,当期,31.0,%,使用率；停车与车辆；利用率,组团A新能源车位使用率为31%。
便捷通行,停车与车辆,使用率,区域=组团B；车位类型=普通车位,固定展示,,固定展示值,当期,43.2,%,使用率；停车与车辆；利用率,组团B普通车位使用率为43.2%。
便捷通行,停车与车辆,使用率,区域=组团B；车位类型=新能源车位,固定展示,,固定展示值,当期,38.1,%,使用率；停车与车辆；利用率,组团B新能源车位使用率为38.1%。
便捷通行,停车与车辆,使用率,区域=组团C；车位类型=普通车位,固定展示,,固定展示值,当期,29.4,%,使用率；停车与车辆；利用率,组团C普通车位使用率为29.4%。
便捷通行,停车与车辆,使用率,区域=组团C；车位类型=新能源车位,固定展示,,固定展示值,当期,26.7,%,使用率；停车与车辆；利用率,组团C新能源车位使用率为26.7%。
便捷通行,停车与车辆,使用率,区域=组团D；车位类型=普通车位,固定展示,,固定展示值,当期,99.2,%,使用率；停车与车辆；利用率,组团D普通车位使用率为99.2%。
便捷通行,停车与车辆,使用率,区域=组团D；车位类型=新能源车位,固定展示,,固定展示值,当期,97.4,%,使用率；停车与车辆；利用率,组团D新能源车位使用率为97.4%。
便捷通行,停车与车辆,使用率,区域=组团E；车位类型=普通车位,固定展示,,固定展示值,当期,95.5,%,使用率；停车与车辆；利用率,组团E普通车位使用率为95.5%。
便捷通行,停车与车辆,使用率,区域=组团E；车位类型=新能源车位,固定展示,,固定展示值,当期,93.2,%,使用率；停车与车辆；利用率,组团E新能源车位使用率为93.2%。
便捷通行,停车与车辆,使用率,区域=组团F；车位类型=普通车位,固定展示,,固定展示值,当期,92.1,%,使用率；停车与车辆；利用率,组团F普通车位使用率为92.1%。
便捷通行,停车与车辆,使用率,区域=组团F；车位类型=新能源车位,固定展示,,固定展示值,当期,89.6,%,使用率；停车与车辆；利用率,组团F新能源车位使用率为89.6%。
便捷通行,停车与车辆,使用率,区域=组团G；车位类型=普通车位,固定展示,,固定展示值,当期,97.8,%,使用率；停车与车辆；利用率,组团G普通车位使用率为97.8%。
便捷通行,停车与车辆,使用率,区域=组团G；车位类型=新能源车位,固定展示,,固定展示值,当期,94.1,%,使用率；停车与车辆；利用率,组团G新能源车位使用率为94.1%。
便捷通行,停车与车辆,使用率,区域=组团H；车位类型=普通车位,固定展示,,固定展示值,当期,46.8,%,使用率；停车与车辆；利用率,组团H普通车位使用率为46.8%。
便捷通行,停车与车辆,使用率,区域=组团H；车位类型=新能源车位,固定展示,,固定展示值,当期,42.1,%,使用率；停车与车辆；利用率,组团H新能源车位使用率为42.1%。
便捷通行,停车与车辆,新能源车辆,,固定展示,,固定展示值,当期,5088.0,辆,新能源车辆；停车与车辆,"新能源车辆为5,088辆。"
便捷通行,停车与车辆,在园车辆数,,固定展示,,固定展示值,当期,8039.0,辆,在园车辆数；停车与车辆,"在园车辆数为8,039辆。"
便捷通行,通行告警,人行体验,,固定展示,,固定展示值,当期,98.5,个,人行体验；通行告警,人行体验为98.5个。
便捷通行,停车与车辆,燃油车辆,,固定展示,,固定展示值,当期,2951.0,辆,燃油车辆；停车与车辆,"燃油车辆为2,951辆。"
便捷通行,停车与车辆,员工车辆,,固定展示,,固定展示值,当期,7155.0,辆,员工车辆；停车与车辆,"员工车辆为7,155辆。"
便捷通行,通行告警,员工,,固定展示,,固定展示值,当期,30256.0,人,员工；通行告警,"员工为30,256人。"
便捷通行,通行告警,安保,,固定展示,,固定展示值,当期,723.0,人,安保；通行告警,安保为723人。
便捷通行,通行告警,访客,,固定展示,,固定展示值,当期,512.0,人,访客；通行告警,访客为512人。
便捷通行,通行告警,总人数,,固定展示,,固定展示值,当期,32159.0,人,总人数；通行告警,"总人数为32,159人。"
便捷通行,停车与车辆,访客车辆,,固定展示,,固定展示值,当期,884.0,辆,访客车辆；停车与车辆,访客车辆为884辆。
便捷通行,通行告警,车行体验,,固定展示,,固定展示值,当期,96.2,辆,车行体验；通行告警,车行体验为96.2辆。
便捷通行,通行告警,新能源汽车占比,,固定展示,,固定展示值,当期,72.0,%,新能源汽车占比；通行告警,新能源汽车占比为72%。
便捷通行,人员通行,无感通行,,固定展示,,固定展示值,当期,81.9,个,无感通行；人员通行,无感通行为81.9个。
便捷通行,通行告警,车辆违停,类别=车辆违停,固定展示,,固定展示值,当期,18.0,件,车辆违停；通行告警,车辆违停数量为18件。
便捷通行,通行告警,权限逾期,类别=权限逾期,固定展示,,固定展示值,当期,11.0,件,权限逾期；通行告警,权限逾期数量为11件。
便捷通行,通行告警,设备故障,类别=设备故障,固定展示,,固定展示值,当期,4.0,件,设备故障；通行告警,设备故障数量为4件。
便捷通行,通行告警,其它,类别=其它,固定展示,,固定展示值,当期,2.0,件,其它；通行告警,其它数量为2件。
便捷通行,通行告警,组团D,区域=组团D,固定展示,,固定展示值,当期,10.0,件,组团D；通行告警,组团D告警数量为10件。
便捷通行,通行告警,组团E,区域=组团E,固定展示,,固定展示值,当期,9.0,件,组团E；通行告警,组团E告警数量为9件。
便捷通行,通行告警,组团F,区域=组团F,固定展示,,固定展示值,当期,8.0,件,组团F；通行告警,组团F告警数量为8件。
便捷通行,通行告警,组团G,区域=组团G,固定展示,,固定展示值,当期,5.0,件,组团G；通行告警,组团G告警数量为5件。
便捷通行,通行告警,组团B,区域=组团B,固定展示,,固定展示值,当期,3.0,件,组团B；通行告警,组团B告警数量为3件。
便捷通行,人员通行,内部员工,人员类别=内部员工,固定展示,,固定展示值,当期,25727.0,个,内部员工；人员通行,"内部员工为25,727个。"
便捷通行,人员通行,合作伙伴,人员类别=合作伙伴,固定展示,,固定展示值,当期,4685.0,个,合作伙伴；人员通行,"合作伙伴为4,685个。"
便捷通行,人员通行,物流人员,人员类别=物流人员,固定展示,,固定展示值,当期,1235.0,个,物流人员；人员通行,"物流人员为1,235个。"
便捷通行,人员通行,访客人员,人员类别=访客人员,固定展示,,固定展示值,当期,512.0,个,访客人员；人员通行,访客人员为512个。
资产管理,资产类别统计,实验仪器,类别=实验仪器,固定展示,,固定展示值,当期,14615.0,台,实验仪器；资产类别统计,"实验仪器资产数量为14,615台。"
资产管理,资产类别统计,IT及计算机,类别=IT及计算机,固定展示,,固定展示值,当期,11965.0,台,IT及计算机；资产类别统计,"IT及计算机资产数量为11,965台。"
资产管理,资产类别统计,办公设备,类别=办公设备,固定展示,,固定展示值,当期,6755.0,台,办公设备；资产类别统计,"办公设备资产数量为6,755台。"
资产管理,资产类别统计,其他配套,类别=其他配套,固定展示,,固定展示值,当期,5288.0,台,其他配套；资产类别统计,"其他配套资产数量为5,288台。"
资产管理,低效资产区域,组团D,区域=组团D,固定展示,,固定展示值,当期,45.0,台,组团D；低效资产区域,组团D低效资产数量为45台。
资产管理,低效资产区域,组团E,区域=组团E,固定展示,,固定展示值,当期,31.0,台,组团E；低效资产区域,组团E低效资产数量为31台。
资产管理,低效资产区域,组团F,区域=组团F,固定展示,,固定展示值,当期,26.0,台,组团F；低效资产区域,组团F低效资产数量为26台。
资产管理,低效资产区域,组团G,区域=组团G,固定展示,,固定展示值,当期,20.0,台,组团G；低效资产区域,组团G低效资产数量为20台。
资产管理,低效资产区域,组团B,区域=组团B,固定展示,,固定展示值,当期,12.0,台,组团B；低效资产区域,组团B低效资产数量为12台。
资产管理,资产盘点在线率,盘点在线率,,固定展示,,固定展示值,当期,98.2,%,盘点在线率；资产盘点在线率,盘点在线率为98.2%。
资产管理,实存资产统计,实存资产,,固定展示,,固定展示值,当期,37928.0,台,实存资产；实存资产统计,"实存资产为37,928台。"
资产管理,盘亏资产统计,盘亏资产,,固定展示,,固定展示值,当期,695.0,台,盘亏资产；盘亏资产统计,盘亏资产为695台。
设施管理,设施设备状态,可用度,设备类型=水冷机组,固定展示,,固定展示值,当期,98.0,%,可用度；设施设备状态；可用率,水冷机组可用度为98%。
设施管理,设施设备状态,可用度,设备类型=空调,固定展示,,固定展示值,当期,95.0,%,可用度；设施设备状态；可用率,空调可用度为95%。
设施管理,设施设备状态,可用度,设备类型=电梯,固定展示,,固定展示值,当期,97.0,%,可用度；设施设备状态；可用率,电梯可用度为97%。
设施管理,设施设备状态,可用度,设备类型=其他,固定展示,,固定展示值,当期,96.0,%,可用度；设施设备状态；可用率,其他可用度为96%。
设施管理,设施设备状态,设备数量,设备类别=实验仪器,固定展示,,固定展示值,当期,14615.0,台,设备数量；设施设备状态,"设备数量为14,615台。"
设施管理,设施设备状态,设备数量,设备类别=IT及计算机,固定展示,,固定展示值,当期,11965.0,台,设备数量；设施设备状态,"设备数量为11,965台。"
设施管理,设施设备状态,设备数量,设备类别=办公设备,固定展示,,固定展示值,当期,6755.0,台,设备数量；设施设备状态,"设备数量为6,755台。"
设施管理,设施设备状态,设备数量,设备类别=其他配套,固定展示,,固定展示值,当期,5288.0,台,设备数量；设施设备状态,"设备数量为5,288台。"
设施管理,设施运行,待处理,,固定展示,,固定展示值,当期,13.0,件,待处理；设施运行,待处理为13件。
设施管理,设施运行,空调系统,类别=空调系统,固定展示,,固定展示值,当期,92.0,%,空调系统；设施运行,空调系统运行状态为92%。
设施管理,设施运行,给排水设备,类别=给排水设备,固定展示,,固定展示值,当期,98.0,%,给排水系统；设施运行,给排水设备运行状态为98%。
设施管理,设施运行,电梯系统,类别=电梯系统,固定展示,,固定展示值,当期,95.0,%,电梯系统；设施运行,电梯系统运行状态为95%。
设施管理,设施运行,消防设备,类别=消防设备,固定展示,,固定展示值,当期,99.0,%,消防系统；设施运行,消防设备运行状态为99%。
设施管理,设施运行,安防设备,类别=安防设备,固定展示,,固定展示值,当期,97.0,%,安防系统；设施运行,安防设备运行状态为97%。
设施管理,设施运行,供配电系统,类别=供配电系统,固定展示,,固定展示值,当期,98.0,%,供配电系统；设施运行,供配电系统运行状态为98%。
设施管理,设施运行,已完成,类别名称=已完成,固定展示,,固定展示值,当期,91.0,个,已完成；设施运行,已完成为91个。
设施管理,设施运行,处理中,类别名称=处理中,固定展示,,固定展示值,当期,90.0,个,处理中；设施运行,处理中为90个。
设施管理,设施运行,待处理,类别名称=待处理,固定展示,,固定展示值,当期,26.0,个,待处理；设施运行,待处理为26个。
设施管理,设施运行,处理中,,固定展示,,固定展示值,当期,61.0,件,处理中；设施运行,处理中为61件。
设施管理,设施运行,已完成,,固定展示,,固定展示值,当期,197.0,件,已完成；设施运行,已完成为197件。
办公会议,会议环境,灯光 已开启,,固定展示,,固定展示值,当期,1259.0,个,灯光 已开启；会议环境,"灯光 已开启为1,259个。"
办公会议,会议室类型统计,大型（大于20人）,类别=大型（大于20人）,固定展示,,固定展示值,当期,82.0,间,大型（大于20人）；会议室类型统计,大型（大于20人）会议室数量为82间。
办公会议,会议室类型统计,中型（10-20人）,类别=中型（10-20人）,固定展示,,固定展示值,当期,1310.0,间,中型（10-20人）；会议室类型统计,"中型（10-20人）会议室数量为1,310间。"
办公会议,会议室类型统计,小型（小于10人）,类别=小型（小于10人）,固定展示,,固定展示值,当期,246.0,间,小型（小于10人）；会议室类型统计,小型（小于10人）会议室数量为246间。
办公会议,会议设备类型统计,视频终端,类别=视频终端,固定展示,,固定展示值,当期,4.0,间,视频终端；会议设备类型统计,视频终端会议设备数量为4间。
办公会议,会议设备类型统计,会议大屏,类别=会议大屏,固定展示,,固定展示值,当期,22.0,间,会议大屏；会议设备类型统计,会议大屏会议设备数量为22间。
办公会议,会议设备类型统计,音频外设,类别=音频外设,固定展示,,固定展示值,当期,5.0,间,音频外设；会议设备类型统计,音频外设会议设备数量为5间。
办公会议,会议设备类型统计,网络通信,类别=网络通信,固定展示,,固定展示值,当期,18.0,间,网络通信；会议设备类型统计,网络通信会议设备数量为18间。
办公会议,会议设备类型统计,智能中控,类别=智能中控,固定展示,,固定展示值,当期,14.0,间,智能中控；会议设备类型统计,智能中控会议设备数量为14间。
办公会议,会议环境,湿度,,固定展示,,固定展示值,当期,50.0,%,湿度；会议环境,湿度为50%。
办公会议,会议设备告警统计,设备异常,类别=设备异常,固定展示,,固定展示值,当期,15.0,间,设备异常；会议设备告警统计,设备异常数量为15间。
办公会议,会议设备告警统计,环境越限,类别=环境越限,固定展示,,固定展示值,当期,8.0,间,环境越限；会议设备告警统计,环境越限数量为8间。
办公会议,会议设备告警统计,违规占用,类别=违规占用,固定展示,,固定展示值,当期,22.0,间,违规占用；会议设备告警统计,违规占用数量为22间。
办公会议,会议设备告警统计,网络质量,类别=网络质量,固定展示,,固定展示值,当期,11.0,间,网络质量；会议设备告警统计,网络质量数量为11间。
办公会议,会议设备告警统计,偷拍摄像,类别=偷拍摄像,固定展示,,固定展示值,当期,1.0,间,偷拍摄像；会议设备告警统计,偷拍摄像数量为1间。
办公会议,会议环境,温度,,固定展示,,固定展示值,当期,25.0,℃,温度；会议环境,温度为25℃。
办公会议,会议环境,噪音 良好,,固定展示,,固定展示值,当期,50.0,dB,噪音 良好；会议环境,噪音 良好为50dB。
办公会议,会议环境,灯光 已关闭,,固定展示,,固定展示值,当期,584.0,个,灯光 已关闭；会议环境,灯光 已关闭为584个。
办公会议,会议设备状态,已使用,,固定展示,,固定展示值,当期,1120.0,个,已使用；会议设备状态,"已使用为1,120个。"
办公会议,会议设备状态,总数量,,固定展示,,固定展示值,当期,1638.0,间,总数量；会议设备状态,"总数量为1,638间。"
办公会议,会议设备状态,使用率,,固定展示,,固定展示值,当期,62.0,%,使用率；会议设备状态；利用率,使用率为62%。
办公会议,会议设备在线率,视频终端在线率,类别=视频终端在线率,固定展示,,固定展示值,当期,99.8,%,视频终端在线率；会议设备在线率,视频终端在线率数量为99.8%。
办公会议,会议设备在线率,会议大屏在线率,类别=会议大屏在线率,固定展示,,固定展示值,当期,99.8,%,会议大屏在线率；会议设备在线率,会议大屏在线率数量为99.8%。
办公会议,会议设备在线率,外设在线率,类别=外设在线率,固定展示,,固定展示值,当期,96.5,%,外设在线率；会议设备在线率,外设在线率数量为96.5%。
办公会议,会议设备在线率,网络质量,类别=网络质量,固定展示,,固定展示值,当期,99.8,间,网络质量；会议设备在线率,网络质量数量为99.8间。
办公会议,会议设备在线率,准时启动率,类别=准时启动率,固定展示,,固定展示值,当期,89.5,%,准时启动率；会议设备在线率,准时启动率数量为89.5%。
